,site,status
366,CA,returned
367,CA,returned
368,CA,returned
369,CA,returned
370,CA,returned
371,CA,returned
372,CA,returned
373,CA,returned
374,CA,returned
375,OR,unreturned
376,TX,returned
377,TX,returned
378,CA,returned
379,AZ,returned
380,CA,returned
381,CA,unreturned
382,CA,returned
383,CA,unreturned
384,TX,returned
385,CA,returned
386,TX,returned
387,OR,returned
388,CA,unreturned
389,TX,returned
390,TX,returned
391,CA,returned
392,TX,returned
393,CA,returned
394,CA,returned
395,CA,unreturned
396,TX,unreturned
397,CA,returned
398,OR,returned
399,CA,returned
400,CA,returned
401,CA,unreturned
402,CA,returned
403,CA,returned
404,CA,unreturned
405,TX,unreturned
406,CA,returned
407,CA,unreturned
408,AZ,returned
409,CA,unreturned
410,CA,returned
411,CA,returned
412,AZ,unreturned
413,CA,unreturned
414,AZ,returned
415,TX,returned
416,CA,unreturned
417,CA,returned
418,AZ,returned
419,CA,unreturned
420,CA,returned
421,AZ,returned
422,CA,returned
423,CA,returned
424,CA,unreturned
425,CA,returned
426,CA,returned
427,TX,returned
428,TX,returned
429,OR,returned
430,CA,returned
431,CA,unreturned
432,CA,returned
433,AZ,unreturned
434,AZ,unreturned
435,CA,returned
436,CA,returned
437,CA,returned
438,CA,returned
439,CA,unreturned
440,CA,unreturned
441,CA,returned
442,CA,returned
443,CA,unreturned
444,CA,returned
445,CA,returned
446,AZ,unreturned
447,AZ,unreturned
448,AZ,returned
449,CA,returned
450,CA,returned
451,CA,returned
452,TX,returned
453,CA,returned
454,CA,returned
455,CA,returned
456,AZ,returned
457,CA,unreturned
458,AZ,unreturned
459,CA,returned
460,TX,returned
461,TX,returned
462,CA,returned
463,TX,unreturned
464,CA,returned
465,OR,unreturned
466,AZ,unreturned
467,CA,unreturned
468,CA,returned
469,AZ,unreturned
470,TX,unreturned
471,CA,returned
472,AZ,returned
473,CA,unreturned
474,CA,returned
475,CA,unreturned
476,AZ,returned
477,AZ,unreturned
478,CA,returned
479,OR,unreturned
480,AZ,unreturned
481,CA,unreturned
482,CA,returned
483,CA,unreturned
484,CA,unreturned
485,CA,returned
486,AZ,returned
487,AZ,returned
488,CA,unreturned
489,AZ,unreturned
490,CA,returned
491,AZ,returned
492,CA,returned
493,CA,returned
494,CA,returned
495,AZ,unreturned
496,CA,unreturned
497,CA,returned
498,AZ,unreturned
499,CA,unreturned
500,CA,returned
501,CA,returned
502,AZ,returned
503,CA,returned
504,AZ,unreturned
505,CA,returned
506,CA,returned
507,AZ,unreturned
508,CA,returned
509,CA,returned
510,CA,returned
511,CA,returned
512,CA,returned
513,CA,unreturned
514,OR,returned
515,AZ,returned
516,CA,unreturned
517,AZ,returned
518,CA,returned
519,CA,unreturned
520,CA,returned
521,CA,unreturned
522,CA,unreturned
523,CA,returned
524,CA,returned
525,OR,unreturned
526,TX,returned
527,CA,unreturned
528,CA,returned
529,CA,returned
530,AZ,returned
531,AZ,returned
532,TX,unreturned
533,AZ,returned
534,AZ,returned
535,TX,returned
536,AZ,returned
537,CA,returned
538,CA,returned
539,CA,returned
540,CA,returned
541,CA,returned
